figure,t_hat,T_published,T_phase5
fig5,0.7589545014520813,0.9522691749469689,0.9522623530162432
fig5,0.7615359793481769,0.9526880158006195,0.9526644582009075
fig5,0.7641174572442724,0.9530562607241677,0.9530632173867764
fig5,0.7666989351403679,0.9534713596707349,0.9534586580813816
fig5,0.7692804130364633,0.9538474051619906,0.9538508075282216
fig5,0.7718618909325589,0.9542686131187594,0.9542396926210043
fig5,0.7744433688286544,0.9546347986012014,0.9546253399710339
fig5,0.7770248467247499,0.955034594604839,0.9550077761379434
fig5,0.7796063246208454,0.9554259356352832,0.9553870274357426
fig5,0.782187802516941,0.9558149988557978,0.9557631198643077
fig5,0.7847692804130365,0.9562161361492465,0.956136079291435
fig5,0.7873507583091319,0.9565652101560177,0.9565059314846999
fig5,0.7899322362052275,0.9569994577901412,0.9568727018223637
fig5,0.792513714101323,0.9605652312385805,0.9572364156167124
fig5,0.7950951919974185,0.9601363158767902,0.9575970978676458
fig5,0.797676669893514,0.9602440036867914,0.9579547734167497
fig5,0.8028396256857051,0.9610017198022412,0.9586612029663162
fig5,0.8054211035818006,0.9613442782117482,0.9590100057298292
fig5,0.808002581477896,0.9617611087712514,0.9593558990598975
fig5,0.8105840593739916,0.9621269313860437,0.9596989071630437
fig5,0.8131655372700871,0.962505913944415,0.9600390537493407
fig5,0.8157470151661826,0.9625978789265255,0.9603763619654426
fig5,0.8183284930622782,0.9632561550063812,0.9607108553927721
fig5,0.8209099709583737,0.9633541328778391,0.9610425569300831
fig5,0.8234914488544692,0.9637096352730081,0.961371489758694
fig5,0.8260729267505647,0.9641070697875431,0.9616976763958636
fig5,0.8286544046466602,0.9644892333492889,0.9620211395877858
fig5,0.8312358825427557,0.9648388845647032,0.9623419016600823
fig5,0.8338173604388512,0.9649434236478771,0.9626599846298254
fig5,0.8363988383349468,0.9629478214093599,0.9629754109586883
fig5,0.8389803162310423,0.9633085922678682,0.9632882020735332
fig5,0.8415617941271378,0.9636633282552249,0.9635983798565222
fig5,0.8441432720232332,0.9637824509023077,0.9639059656252056
fig5,0.8467247499193288,0.9641056702231747,0.9642109810784711
fig5,0.8493062278154243,0.9645002881470118,0.9645134468548917
fig5,0.8518877057115198,0.9648896506525065,0.964813384409893
fig5,0.8544691836076154,0.9652225486545012,0.9651108141047484
fig5,0.8570506615037109,0.9653365735848229,0.9654057570896382
fig5,0.8596321393998064,0.9656795408022905,0.9656982335609079
fig5,0.862213617295902,0.9660301051348843,0.9659882638720225
fig5,0.8647950951919974,0.9661408812020639,0.9662758680431689
fig5,0.8673765730880929,0.9664694280078896,0.9665610662817911
fig5,0.8699580509841884,0.9668508106427034,0.9668438782509267
fig5,0.872539528880284,0.9669407099197803,0.9671243237344025
fig5,0.8751210067763795,0.9672552667084202,0.9674024222943424
